№ ,Имя,Профессия,Пол,Почта,Тип занятости,График работы
1,Аднрей,инженер,м,andruha@yandex.ru,Полная занятость,Полный день
2,Ярослав,программист,м,yarik@mail.ru,Полная занятость,Полный день
3,Светослав,юрист,м,svetik@gmail.com,Полная занятость,Сменный график
4,Ярик,стропальщик,м,yarik2@mail.ru,Полная занятость,Сменный график
5,Семен,водитель,м,semaaa@yandex.ru,Полная занятость,Сменный график
6,Сергей,таксист,м,serga@xzchto.ru,Полная занятость,Полный день
7,Алёна,домохозяйка,ж,aleNa@yandex.ru,Полная занятость,Полный день
8,Инакентий,философ,м,inoKent@mail.ru,Полная занятость,Полный день
9,Володя,мечтатель,м,voldia@mail.ru,Полная занятость,Полный день
10,Кто то еще,неизвестно,хз,xzkto@mail.ru,Частичная занятость,Полный день
